"year","period","periodName","latest","value","series_id","chr_code","item_code","footnote_code","footnote_text"
"2022","A01","Annual","true","583","CXUALCBEVGLB0401M","01","ALCBEVG",NA,NA
"2021","A01","Annual",NA,"554","CXUALCBEVGLB0401M","01","ALCBEVG",NA,NA
"2020","A01","Annual",NA,"478","CXUALCBEVGLB0401M","01","ALCBEVG",NA,NA
"2019","A01","Annual",NA,"579","CXUALCBEVGLB0401M","01","ALCBEVG",NA,NA
"2018","A01","Annual",NA,"583","CXUALCBEVGLB0401M","01","ALCBEVG",NA,NA
"2017","A01","Annual",NA,"558","CXUALCBEVGLB0401M","01","ALCBEVG",NA,NA
"2016","A01","Annual",NA,"484","CXUALCBEVGLB0401M","01","ALCBEVG",NA,NA
"2015","A01","Annual",NA,"515","CXUALCBEVGLB0401M","01","ALCBEVG",NA,NA
"2022","A01","Annual","true","394","CXUALCBEVGLB0402M","02","ALCBEVG",NA,NA
"2021","A01","Annual",NA,"346","CXUALCBEVGLB0402M","02","ALCBEVG",NA,NA
"2020","A01","Annual",NA,"225","CXUALCBEVGLB0402M","02","ALCBEVG",NA,NA
"2019","A01","Annual",NA,"327","CXUALCBEVGLB0402M","02","ALCBEVG",NA,NA
"2018","A01","Annual",NA,"271","CXUALCBEVGLB0402M","02","ALCBEVG",NA,NA
"2017","A01","Annual",NA,"317","CXUALCBEVGLB0402M","02","ALCBEVG",NA,NA
"2016","A01","Annual",NA,"230","CXUALCBEVGLB0402M","02","ALCBEVG",NA,NA
"2015","A01","Annual",NA,"250","CXUALCBEVGLB0402M","02","ALCBEVG",NA,NA
"2022","A01","Annual","true","622","CXUALCBEVGLB0403M","03","ALCBEVG",NA,NA
"2021","A01","Annual",NA,"663","CXUALCBEVGLB0403M","03","ALCBEVG",NA,NA
"2020","A01","Annual",NA,"481","CXUALCBEVGLB0403M","03","ALCBEVG",NA,NA
"2019","A01","Annual",NA,"525","CXUALCBEVGLB0403M","03","ALCBEVG",NA,NA
"2018","A01","Annual",NA,"633","CXUALCBEVGLB0403M","03","ALCBEVG",NA,NA
"2017","A01","Annual",NA,"573","CXUALCBEVGLB0403M","03","ALCBEVG",NA,NA
"2016","A01","Annual",NA,"539","CXUALCBEVGLB0403M","03","ALCBEVG",NA,NA
"2015","A01","Annual",NA,"543","CXUALCBEVGLB0403M","03","ALCBEVG",NA,NA
"2022","A01","Annual","true","688","CXUALCBEVGLB0404M","04","ALCBEVG",NA,NA
"2021","A01","Annual",NA,"596","CXUALCBEVGLB0404M","04","ALCBEVG",NA,NA
"2020","A01","Annual",NA,"551","CXUALCBEVGLB0404M","04","ALCBEVG",NA,NA
